date_time,Latitude,Longitude,Altitude,Course/Heading,Speed,SurfaceTemperature,DewPoint,WaterFilm,IcePercentage,Friction,RoadCondition
2017/01/24 16:08:42,39.44989,-92.409785,262.35,353.11,-1,63.19,37.3,0,0,0.82,0
2017/01/24 16:12:31,39.449881,-92.409746,263.35,107.93,0.35,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2017/01/24 16:12:40,39.449883,-92.409751,262.82,134.65,0.58,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2017/01/24 16:12:50,39.449911,-92.409852,261.87,164.53,0.24,63.55,37.52,0,0,0.82,0
2017/01/24 16:13:00,39.45003,-92.409786,263.72,4.92,0.73,63.4,37.51,0,0,0.82,0
2017/01/24 16:13:10,39.449984,-92.409785,263.87,154.34,0,63.41,37.53,0,0,0.82,0
2017/01/24 16:13:20,39.449936,-92.409777,263.61,154.34,0,63.45,37.54,0,0,0.82,0
2017/01/24 16:13:30,39.449929,-92.409792,263.61,348.79,-1,63.32,37.58,0,0,0.82,0
2017/01/24 16:13:39,39.449929,-92.409792,263.61,351.76,-1,63.31,37.56,0,0,0.82,0
2017/01/24 16:13:50,39.450006,-92.409998,263.01,352.08,-1,63.41,37.59,0,0,0.82,0
2017/01/24 16:14:00,39.44982,-92.409698,262.14,338.41,-1,63.29,37.58,0,0,0.82,0
2017/01/24 16:14:10,39.449884,-92.409759,263.76,336.03,0,63.66,37.57,0,0,0.82,0
2017/01/24 16:14:20,39.449884,-92.409759,263.79,265.7,0,63.41,37.58,0,0,0.82,0
2017/01/24 16:14:30,39.449884,-92.409759,263.63,266.27,0,63.37,37.58,0,0,0.82,0
2017/01/24 16:14:40,39.449884,-92.409759,263.45,263.3,0,63.38,37.61,0,0,0.82,0
2017/01/24 16:14:50,39.449856,-92.409729,263.82,271.51,0,63.4,37.55,0,0,0.82,0
2017/01/24 16:15:00,39.449856,-92.409729,263.59,266.8,0,63.03,37.57,0,0,0.82,0
2017/01/24 16:15:10,39.449856,-92.409729,263.72,276.23,0,63.22,37.6,0,0,0.82,0
2017/01/24 16:15:20,39.449856,-92.409729,263.83,279.89,0,63.41,37.62,0,0,0.82,0
2017/01/24 16:15:30,39.449856,-92.409729,263.88,256.14,0,63.14,37.6,0,0,0.82,0
2017/01/24 16:15:40,39.449856,-92.409729,263.73,260.58,0,63.26,37.61,0,0,0.82,0
2017/01/24 16:15:50,39.449856,-92.409729,263.83,274.21,0,63.14,37.64,0,0,0.82,0
2017/01/24 16:16:00,39.449856,-92.409729,263.83,256.66,0,63.24,37.63,0,0,0.82,0
2017/01/24 16:16:10,39.449856,-92.409729,263.83,260.71,0,63.29,37.64,0,0,0.82,0
2017/01/24 16:16:20,39.449856,-92.409729,263.83,265.3,0,63.28,37.67,0,0,0.82,0
2017/01/24 16:16:30,39.449878,-92.409792,262.26,266.52,-1,63.13,37.67,0,0,0.82,0
2017/01/24 16:16:40,39.449862,-92.409751,263.98,281.74,0,63,37.68,0,0,0.82,0
2017/01/24 16:16:50,39.449862,-92.409751,263.69,263.57,0,63.25,37.65,0,0,0.82,0
2017/01/24 16:17:00,39.449862,-92.409751,263.76,263.57,0,63.21,37.67,0,0,0.82,0
2017/01/24 16:17:10,39.449862,-92.409751,263.94,335.45,0,63.17,37.71,0,0,0.82,0
2017/01/24 16:17:49,39.449852,-92.409743,262.24,345.1,-1,63.14,37.73,0,0,0.82,0
2017/01/24 16:18:31,39.449862,-92.409755,263.75,345.44,0,63.37,37.78,0,0,0.82,0
2017/01/24 16:18:34,39.449862,-92.409755,263.75,342.05,0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2017/01/24 16:21:02,39.449859,-92.409752,262.25,344.27,-1,63.43,37.65,0,0,0.82,0
2017/01/24 16:21:11,39.449862,-92.409761,262.27,343.4,-1,63.41,37.62,0,0,0.82,0
